Record_ID,Authors,Year,Title,Source_DB,Decision (Include/Exclude),Exclusion_Reason,Screened_By,Notes
R161,Author Group 161,2014,Traditional Crack Detection Benchmark Study #119,IEEE Xplore,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R162,Author Group 162,2022,Wavelet-Based Medical Image Edge Enhancement #120,Scopus,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R163,Author Group 163,2025,Canny Edge Detector Parameter Tuning for Road Scenes #121,ScienceDirect,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R164,Author Group 164,2014,A Survey of Deep Learning for Boundary Detection #122,Web of Science,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R165,Author Group 165,2017,Hybrid Sobel-Canny for Biomedical Images #123,Google Scholar,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R166,Author Group 166,2020,GAN-Based Segmentation without Edge Supervision #124,IEEE Xplore,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R167,Author Group 167,2014,Low-Level Gradient Features for Edge Maps #125,Scopus,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R168,Author Group 168,2012,Graph-Cut Segmentation for Satellite Images #126,ScienceDirect,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R169,Author Group 169,2015,Traditional Crack Detection Benchmark Study #127,Web of Science,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R170,Author Group 170,2018,Wavelet-Based Medical Image Edge Enhancement #128,Google Scholar,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R171,Author Group 171,2021,Canny Edge Detector Parameter Tuning for Road Scenes #129,IEEE Xplore,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R172,Author Group 172,2024,A Survey of Deep Learning for Boundary Detection #130,Scopus,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R173,Author Group 173,2014,Hybrid Sobel-Canny for Biomedical Images #131,ScienceDirect,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R174,Author Group 174,2016,GAN-Based Segmentation without Edge Supervision #132,Web of Science,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R175,Author Group 175,2019,Low-Level Gradient Features for Edge Maps #133,Google Scholar,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R176,Author Group 176,2022,Graph-Cut Segmentation for Satellite Images #134,IEEE Xplore,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R177,Author Group 177,2025,Traditional Crack Detection Benchmark Study #135,Scopus,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R178,Author Group 178,2014,Wavelet-Based Medical Image Edge Enhancement #136,ScienceDirect,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R179,Author Group 179,2014,Canny Edge Detector Parameter Tuning for Road Scenes #137,Web of Science,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R180,Author Group 180,2020,A Survey of Deep Learning for Boundary Detection #138,Google Scholar,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R181,Author Group 181,2023,Hybrid Sobel-Canny for Biomedical Images #139,IEEE Xplore,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R182,Author Group 182,2012,GAN-Based Segmentation without Edge Supervision #140,Scopus,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R183,Author Group 183,2015,Low-Level Gradient Features for Edge Maps #141,ScienceDirect,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R184,Author Group 184,2018,Graph-Cut Segmentation for Satellite Images #142,Web of Science,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R185,Author Group 185,2014,Traditional Crack Detection Benchmark Study #143,Google Scholar,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R186,Author Group 186,2024,Wavelet-Based Medical Image Edge Enhancement #144,IEEE Xplore,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R187,Author Group 187,2013,Canny Edge Detector Parameter Tuning for Road Scenes #145,Scopus,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R188,Author Group 188,2016,A Survey of Deep Learning for Boundary Detection #146,ScienceDirect,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R189,Author Group 189,2019,Hybrid Sobel-Canny for Biomedical Images #147,Web of Science,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R190,Author Group 190,2022,GAN-Based Segmentation without Edge Supervision #148,Google Scholar,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R191,Author Group 191,2014,Low-Level Gradient Features for Edge Maps #149,IEEE Xplore,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R192,Author Group 192,2014,Graph-Cut Segmentation for Satellite Images #150,Scopus,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R193,Author Group 193,2017,Traditional Crack Detection Benchmark Study #151,ScienceDirect,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R194,Author Group 194,2020,Wavelet-Based Medical Image Edge Enhancement #152,Web of Science,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R195,Author Group 195,2023,Canny Edge Detector Parameter Tuning for Road Scenes #153,Google Scholar,Exclude,Duplicate,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R196,Author Group 196,2012,A Survey of Deep Learning for Boundary Detection #154,IEEE Xplore,Exclude,Non-English,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R197,Author Group 197,2014,Hybrid Sobel-Canny for Biomedical Images #155,Scopus,Exclude,Pre-2015,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R198,Author Group 198,2018,GAN-Based Segmentation without Edge Supervision #156,ScienceDirect,Exclude,Insufficient methodological detail,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R199,Author Group 199,2021,Low-Level Gradient Features for Edge Maps #157,Web of Science,Exclude,Not HED-related,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
R200,Author Group 200,2024,Graph-Cut Segmentation for Satellite Images #158,Google Scholar,Exclude,Review/survey article,Reviewer_A; Reviewer_B,Excluded at title/abstract stage
